id,type,lat,lon,name,access,capacity,fee,city,state
223237866,way,33.5764019,-112.0546466,Parking 223237866,unknown,unknown,unknown,Phoenix,Arizona
223352834,way,33.5752872,-112.0552463,Parking 223352834,unknown,unknown,unknown,Phoenix,Arizona
223353152,way,33.5754107,-112.0549126,Parking 223353152,unknown,unknown,unknown,Phoenix,Arizona
223475228,way,33.4660575,-112.0579834,Parking 223475228,unknown,unknown,unknown,Phoenix,Arizona
223477070,way,33.4660348,-112.0575845,Parking 223477070,unknown,unknown,unknown,Phoenix,Arizona
223477071,way,33.4662552,-112.0568132,Parking 223477071,unknown,unknown,unknown,Phoenix,Arizona
223477072,way,33.4663655,-112.0582688,Parking 223477072,unknown,unknown,unknown,Phoenix,Arizona
223477073,way,33.4662362,-112.0578249,Parking 223477073,unknown,unknown,unknown,Phoenix,Arizona
223504902,way,33.5741146,-112.0572089,Parking 223504902,unknown,unknown,unknown,Phoenix,Arizona
223504903,way,33.5737119,-112.0572035,Parking 223504903,unknown,unknown,unknown,Phoenix,Arizona
223504907,way,33.5744167,-112.0569048,Parking 223504907,unknown,unknown,unknown,Phoenix,Arizona
223642443,way,33.5744026,-112.053542,Parking 223642443,unknown,unknown,unknown,Phoenix,Arizona
223645071,way,33.5743345,-112.0488111,Parking 223645071,unknown,unknown,unknown,Phoenix,Arizona
223862367,way,33.3971084,-111.9628821,Parking 223862367,unknown,unknown,unknown,Phoenix,Arizona
223862369,way,33.400863,-111.9614507,Parking 223862369,unknown,unknown,unknown,Phoenix,Arizona
223862370,way,33.4029006,-111.9616223,Parking 223862370,unknown,unknown,unknown,Phoenix,Arizona
223862413,way,33.4049864,-111.9629664,Parking 223862413,unknown,unknown,unknown,Phoenix,Arizona
224009453,way,33.3989835,-111.951464,Parking 224009453,unknown,unknown,unknown,Phoenix,Arizona
224191982,way,33.5645458,-112.1889229,Parking 224191982,customers,unknown,unknown,Phoenix,Arizona
224191983,way,33.5647394,-112.1888344,Parking 224191983,customers,unknown,unknown,Phoenix,Arizona
224192260,way,33.5654667,-112.1897516,Parking 224192260,customers,unknown,unknown,Phoenix,Arizona
224192302,way,33.5654742,-112.1893906,Parking 224192302,customers,unknown,unknown,Phoenix,Arizona
224192304,way,33.5650723,-112.1895676,Parking 224192304,customers,unknown,unknown,Phoenix,Arizona
224192313,way,33.5654588,-112.1903985,Parking 224192313,unknown,unknown,unknown,Phoenix,Arizona
224192314,way,33.565214,-112.190396,Parking 224192314,customers,unknown,unknown,Phoenix,Arizona
224192323,way,33.5661666,-112.1903787,Parking 224192323,customers,unknown,unknown,Phoenix,Arizona
224192325,way,33.5664186,-112.1903788,Parking 224192325,customers,unknown,unknown,Phoenix,Arizona
224192563,way,33.565997,-112.1894644,Parking 224192563,customers,unknown,unknown,Phoenix,Arizona
224192564,way,33.5665248,-112.1898889,Parking 224192564,customers,unknown,unknown,Phoenix,Arizona
224192578,way,33.5665351,-112.1895383,Parking 224192578,customers,unknown,unknown,Phoenix,Arizona
224192579,way,33.566412,-112.1895284,Parking 224192579,customers,unknown,unknown,Phoenix,Arizona
224192683,way,33.5664005,-112.1888505,Parking 224192683,customers,unknown,unknown,Phoenix,Arizona
224192878,way,33.5651335,-112.1878875,Parking 224192878,customers,unknown,unknown,Phoenix,Arizona
224192900,way,33.5652351,-112.1874153,Parking 224192900,customers,unknown,unknown,Phoenix,Arizona
224192903,way,33.5649442,-112.1874066,Parking 224192903,customers,unknown,unknown,Phoenix,Arizona
224192915,way,33.5647647,-112.1878722,Parking 224192915,customers,unknown,unknown,Phoenix,Arizona
224192939,way,33.565559,-112.1887737,Parking 224192939,customers,unknown,unknown,Phoenix,Arizona
224192940,way,33.5654123,-112.1886229,Parking 224192940,customers,unknown,unknown,Phoenix,Arizona
224192987,way,33.5650795,-112.1890581,Parking 224192987,customers,unknown,unknown,Phoenix,Arizona
224192988,way,33.5654398,-112.1887717,Parking 224192988,customers,unknown,unknown,Phoenix,Arizona
224193014,way,33.5651273,-112.1882445,Parking 224193014,customers,unknown,unknown,Phoenix,Arizona
224193015,way,33.5649284,-112.1882385,Parking 224193015,customers,unknown,unknown,Phoenix,Arizona
224193201,way,33.5658808,-112.1888255,Parking 224193201,customers,unknown,unknown,Phoenix,Arizona
224193202,way,33.5660028,-112.1888307,Parking 224193202,customers,unknown,unknown,Phoenix,Arizona
224193203,way,33.5665566,-112.1888571,Parking 224193203,customers,unknown,unknown,Phoenix,Arizona
224193228,way,33.5658738,-112.1884596,Parking 224193228,customers,unknown,unknown,Phoenix,Arizona
224193230,way,33.5660371,-112.188466,Parking 224193230,customers,unknown,unknown,Phoenix,Arizona
224193251,way,33.5665667,-112.1885041,Parking 224193251,customers,unknown,unknown,Phoenix,Arizona
224193252,way,33.5664101,-112.1885005,Parking 224193252,customers,unknown,unknown,Phoenix,Arizona
224193254,way,33.5664388,-112.1879914,Parking 224193254,customers,unknown,unknown,Phoenix,Arizona
224193255,way,33.5664423,-112.1878296,Parking 224193255,customers,unknown,unknown,Phoenix,Arizona
224193260,way,33.5664453,-112.1876636,Parking 224193260,customers,unknown,unknown,Phoenix,Arizona
224193451,way,33.5658689,-112.1877796,Parking 224193451,customers,unknown,unknown,Phoenix,Arizona
224193512,way,33.5660498,-112.1874756,Parking 224193512,customers,unknown,unknown,Phoenix,Arizona
224193513,way,33.5658759,-112.1874713,Parking 224193513,customers,unknown,unknown,Phoenix,Arizona
224193514,way,33.5656935,-112.1877746,Parking 224193514,customers,unknown,unknown,Phoenix,Arizona
224193515,way,33.5657054,-112.1874662,Parking 224193515,customers,unknown,unknown,Phoenix,Arizona
224193526,way,33.5664168,-112.1871098,Parking 224193526,customers,unknown,unknown,Phoenix,Arizona
224193545,way,33.5659149,-112.1870093,Parking 224193545,customers,unknown,unknown,Phoenix,Arizona
224193551,way,33.5657931,-112.1870129,Parking 224193551,customers,unknown,unknown,Phoenix,Arizona
224193560,way,33.5660662,-112.1865726,Parking 224193560,customers,unknown,unknown,Phoenix,Arizona
224193561,way,33.5658125,-112.1865658,Parking 224193561,customers,unknown,unknown,Phoenix,Arizona
224197550,way,33.5644,-112.188153,Parking 224197550,customers,unknown,unknown,Phoenix,Arizona
